V_BE	g3_bjt1
8.11500000000000200E-1	5.06982835591722300E1
8.12500000000000000E-1	5.10815693959911330E1
8.13500000000000160E-1	5.14190705700081190E1
8.14499999999999960E-1	5.17086690444279020E1
8.15500000000000110E-1	5.19483351570632750E1
8.16499999999999910E-1	5.21361404243089850E1
8.17500000000000070E-1	5.22702730366497280E1
8.18500000000000050E-1	5.23490497420592950E1
8.19500000000000030E-1	5.23709298940912580E1
8.20500000000000010E-1	5.23345289932936630E1
8.21500000000000160E-1	5.22386288732676450E1
8.22499999999999960E-1	5.20821914470234850E1
8.23500000000000120E-1	5.18643671800429030E1
8.24500000000000100E-1	5.15845057704686470E1
8.25500000000000080E-1	5.12421645464695260E1
8.26500000000000060E-1	5.08371139436162970E1
8.27500000000000210E-1	5.03693456664042300E1
8.28500000000000010E-1	4.98390738741715910E1
8.29500000000000170E-1	4.92467409107301800E1
8.30499999999999970E-1	4.85930155009168360E1
8.31500000000000130E-1	4.78787936405428920E1
8.32499999999999930E-1	4.71051964050958730E1
8.33500000000000090E-1	4.62735643382349960E1
8.34500000000000060E-1	4.53854543020182000E1
8.35500000000000040E-1	4.44426290203545270E1
8.36500000000000020E-1	4.34470511609159260E1
8.37500000000000180E-1	4.24008712297294290E1
8.38499999999999980E-1	4.13064164488802990E1
8.39500000000000140E-1	4.01661772877432630E1
8.40500000000000110E-1	3.89827943138260840E1
8.41500000000000090E-1	3.77590422088304930E1
8.42500000000000070E-1	3.64978138779958530E1
8.43500000000000230E-1	3.52021044570393920E1
8.44500000000000030E-1	3.38749938768780590E1
8.45500000000000180E-1	3.25196289730924320E1
8.46499999999999990E-1	3.11392069820883590E1
8.47500000000000140E-1	2.97369568925418280E1
8.48499999999999940E-1	2.83161226549894800E1
8.49500000000000100E-1	2.68799465107804900E1
8.50500000000000080E-1	2.54316512606287180E1
8.51500000000000060E-1	2.39744257822507080E1
8.52500000000000040E-1	2.25114088620270490E1
8.53500000000000190E-1	2.10456758556824930E1
8.54499999999999990E-1	1.95802238441995340E1
8.55500000000000150E-1	1.81179614445081500E1
8.56500000000000130E-1	1.66616961573064910E1
8.57500000000000110E-1	1.52141248375667760E1
8.58500000000000090E-1	1.37778248991979750E1
8.59500000000000240E-1	1.23552469427376970E1
8.60500000000000040E-1	1.09487083470529620E1
8.61500000000000200E-1	9.56038751204956410E0
8.62500000000000000E-1	8.19232098391519510E0
8.63500000000000160E-1	6.84639979346356940E0
8.64499999999999960E-1	5.52436791533139090E0
8.65500000000000110E-1	4.22782149310485170E0
8.66500000000000090E-1	2.95820996258644180E0
8.67500000000000070E-1	1.71683577855663420E0
8.68500000000000050E-1	5.04857646117961690E-1
8.69500000000000210E-1	-6.76706566600237560E-1
8.70500000000000010E-1	-1.82697795699038170E0
8.71500000000000160E-1	-2.94521002806824320E0
8.72500000000000140E-1	-4.03078598366856870E0
8.73500000000000120E-1	-5.08321306829006670E0
8.74500000000000100E-1	-6.10211628022660510E0
8.75500000000000260E-1	-7.08723471486560270E0
8.76500000000000060E-1	-8.03841200115140000E0
8.77500000000000210E-1	-8.95559437979453320E0
8.78500000000000010E-1	-9.83882177896599150E0
8.79500000000000170E-1	-1.06882201622564480E1
8.80499999999999970E-1	-1.15040002809925100E1
8.81500000000000130E-1	-1.22864452267199440E1
8.82500000000000110E-1	-1.30359086224993570E1
8.83500000000000090E-1	-1.37528073295789400E1
8.84500000000000060E-1	-1.44376131839693980E1
8.85500000000000220E-1	-1.50908519803860530E1
8.86500000000000020E-1	-1.57130934921125710E1
8.87500000000000180E-1	-1.63049484738997250E1
8.88500000000000160E-1	-1.68670625322069200E1
